Timestamp,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Xylene,Temperature,Humidity,WindSpeed,WindDirection,Rainfall,TotalRainfall,SolarRadiation,BarometricPressure,Year,Month,Day,DayOfWeek,MonthName,Season,IsMonsoon,AQI_PM25,AQI_PM10,AQI,AQI_Category
2015-06-06,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,6,Saturday,June,Monsoon,True,,,,Unknown
2015-06-07,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,7,Sunday,June,Monsoon,True,,,,Unknown
2015-06-08,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,8,Monday,June,Monsoon,True,,,,Unknown
2015-06-09,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,9,Tuesday,June,Monsoon,True,,,,Unknown
2015-06-10,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,10,Wednesday,June,Monsoon,True,,,,Unknown
2015-06-11,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,11,Thursday,June,Monsoon,True,,,,Unknown
2015-06-12,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,12,Friday,June,Monsoon,True,,,,Unknown
2015-06-13,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,13,Saturday,June,Monsoon,True,,,,Unknown
2015-06-14,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,14,Sunday,June,Monsoon,True,,,,Unknown
2015-06-15,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,15,Monday,June,Monsoon,True,,,,Unknown
2015-06-16,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,16,Tuesday,June,Monsoon,True,,,,Unknown
2015-06-17,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,17,Wednesday,June,Monsoon,True,,,,Unknown
2015-06-18,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,18,Thursday,June,Monsoon,True,,,,Unknown
2015-06-19,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,19,Friday,June,Monsoon,True,,,,Unknown
2015-06-20,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,20,Saturday,June,Monsoon,True,,,,Unknown
2015-06-21,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,21,Sunday,June,Monsoon,True,,,,Unknown
2015-06-22,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,22,Monday,June,Monsoon,True,,,,Unknown
2015-06-23,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,23,Tuesday,June,Monsoon,True,,,,Unknown
2015-06-24,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,24,Wednesday,June,Monsoon,True,,,,Unknown
2015-06-25,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,25,Thursday,June,Monsoon,True,,,,Unknown
2015-06-26,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,26,Friday,June,Monsoon,True,,,,Unknown
2015-06-27,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,27,Saturday,June,Monsoon,True,,,,Unknown
2015-06-28,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,28,Sunday,June,Monsoon,True,,,,Unknown
2015-06-29,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,29,Monday,June,Monsoon,True,,,,Unknown
2015-06-30,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,6,30,Tuesday,June,Monsoon,True,,,,Unknown
2015-07-01,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,1,Wednesday,July,Monsoon,True,,,,Unknown
2015-07-02,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,2,Thursday,July,Monsoon,True,,,,Unknown
2015-07-03,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,3,Friday,July,Monsoon,True,,,,Unknown
2015-07-04,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,4,Saturday,July,Monsoon,True,,,,Unknown
2015-07-05,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,5,Sunday,July,Monsoon,True,,,,Unknown
2015-07-06,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,6,Monday,July,Monsoon,True,,,,Unknown
2015-07-07,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,7,Tuesday,July,Monsoon,True,,,,Unknown
2015-07-08,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,8,Wednesday,July,Monsoon,True,,,,Unknown
2015-07-09,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,9,Thursday,July,Monsoon,True,,,,Unknown
2015-07-10,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,10,Friday,July,Monsoon,True,,,,Unknown
2015-07-11,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,11,Saturday,July,Monsoon,True,,,,Unknown
2015-07-12,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,12,Sunday,July,Monsoon,True,,,,Unknown
2015-07-13,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,13,Monday,July,Monsoon,True,,,,Unknown
2015-07-14,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,14,Tuesday,July,Monsoon,True,,,,Unknown
2015-07-15,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,15,Wednesday,July,Monsoon,True,,,,Unknown
2015-07-16,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,16,Thursday,July,Monsoon,True,,,,Unknown
2015-07-17,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,17,Friday,July,Monsoon,True,,,,Unknown
2015-07-18,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,18,Saturday,July,Monsoon,True,,,,Unknown
2015-07-19,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,19,Sunday,July,Monsoon,True,,,,Unknown
2015-07-20,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,20,Monday,July,Monsoon,True,,,,Unknown
2015-07-21,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,21,Tuesday,July,Monsoon,True,,,,Unknown
2015-07-22,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,22,Wednesday,July,Monsoon,True,,,,Unknown
2015-07-23,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,23,Thursday,July,Monsoon,True,,,,Unknown
2015-07-24,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,24,Friday,July,Monsoon,True,,,,Unknown
2015-07-25,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,25,Saturday,July,Monsoon,True,,,,Unknown
2015-07-26,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,26,Sunday,July,Monsoon,True,,,,Unknown
2015-07-27,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,27,Monday,July,Monsoon,True,,,,Unknown
2015-07-28,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,28,Tuesday,July,Monsoon,True,,,,Unknown
2015-07-29,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,29,Wednesday,July,Monsoon,True,,,,Unknown
2015-07-30,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,30,Thursday,July,Monsoon,True,,,,Unknown
2015-07-31,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,7,31,Friday,July,Monsoon,True,,,,Unknown
2015-08-01,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,8,1,Saturday,August,Monsoon,True,,,,Unknown
2015-08-02,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,8,2,Sunday,August,Monsoon,True,,,,Unknown
2015-08-03,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,8,3,Monday,August,Monsoon,True,,,,Unknown
2015-08-04,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,8,4,Tuesday,August,Monsoon,True,,,,Unknown
2015-08-05,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,8,5,Wednesday,August,Monsoon,True,,,,Unknown
2015-08-06,,,,,,,,,,,,,,,,,0.0,0.0,,,2015,8,6,Thursday,August,Monsoon,True,,,,Unknown
